,prob_move,Run,voters
0,0.0,0,58
1,0.0,1,60
2,0.0,2,60
3,0.0,3,51
4,0.0,4,59
5,0.0,5,60
6,0.0,6,59
7,0.0,7,56
8,0.0,8,57
9,0.0,9,75
10,0.011111111111111112,10,76
11,0.011111111111111112,11,57
12,0.011111111111111112,12,50
13,0.011111111111111112,13,59
14,0.011111111111111112,14,56
15,0.011111111111111112,15,65
16,0.011111111111111112,16,54
17,0.011111111111111112,17,62
18,0.011111111111111112,18,55
19,0.011111111111111112,19,58
20,0.022222222222222223,20,72
21,0.022222222222222223,21,70
22,0.022222222222222223,22,55
23,0.022222222222222223,23,50
24,0.022222222222222223,24,63
25,0.022222222222222223,25,60
26,0.022222222222222223,26,61
27,0.022222222222222223,27,55
28,0.022222222222222223,28,63
29,0.022222222222222223,29,47
30,0.03333333333333333,30,50
31,0.03333333333333333,31,53
32,0.03333333333333333,32,58
33,0.03333333333333333,33,54
34,0.03333333333333333,34,56
35,0.03333333333333333,35,63
36,0.03333333333333333,36,63
37,0.03333333333333333,37,55
38,0.03333333333333333,38,53
39,0.03333333333333333,39,49
40,0.044444444444444446,40,63
41,0.044444444444444446,41,51
42,0.044444444444444446,42,50
43,0.044444444444444446,43,57
44,0.044444444444444446,44,53
45,0.044444444444444446,45,56
46,0.044444444444444446,46,55
47,0.044444444444444446,47,43
48,0.044444444444444446,48,51
49,0.044444444444444446,49,54
50,0.05555555555555556,50,60
51,0.05555555555555556,51,67
52,0.05555555555555556,52,41
53,0.05555555555555556,53,48
54,0.05555555555555556,54,61
55,0.05555555555555556,55,49
56,0.05555555555555556,56,52
57,0.05555555555555556,57,51
58,0.05555555555555556,58,57
59,0.05555555555555556,59,52
60,0.06666666666666667,60,52
61,0.06666666666666667,61,43
62,0.06666666666666667,62,52
63,0.06666666666666667,63,46
64,0.06666666666666667,64,50
65,0.06666666666666667,65,59
66,0.06666666666666667,66,53
67,0.06666666666666667,67,41
68,0.06666666666666667,68,47
69,0.06666666666666667,69,56
70,0.07777777777777778,70,53
71,0.07777777777777778,71,54
72,0.07777777777777778,72,48
73,0.07777777777777778,73,56
74,0.07777777777777778,74,42
75,0.07777777777777778,75,45
76,0.07777777777777778,76,52
77,0.07777777777777778,77,47
78,0.07777777777777778,78,53
79,0.07777777777777778,79,40
80,0.08888888888888889,80,44
81,0.08888888888888889,81,41
82,0.08888888888888889,82,47
83,0.08888888888888889,83,44
84,0.08888888888888889,84,50
85,0.08888888888888889,85,56
86,0.08888888888888889,86,48
87,0.08888888888888889,87,41
88,0.08888888888888889,88,67
89,0.08888888888888889,89,52
90,0.1,90,33
91,0.1,91,50
92,0.1,92,38
93,0.1,93,48
94,0.1,94,42
95,0.1,95,40
96,0.1,96,42
97,0.1,97,47
98,0.1,98,40
99,0.1,99,50
